time,latitude,longitude,z,centroid
5,34.75,-102.00,5931.6,-1
5,34.75,-62.25,5945.2,-1
5,34.50,137.50,5887.7,-1
5,34.50,158.75,5918.0,-1
5,34.25,76.00,5860.9,-1
5,34.00,-105.75,5924.5,-1
5,33.75,-100.75,5929.0,-1
5,33.75,86.50,5862.6,-1
5,33.75,160.50,5917.9,-1
5,33.50,-6.00,5939.2,-1
5,33.50,-4.25,5938.6,-1
5,33.25,-107.75,5921.9,-1
5,33.25,-105.50,5924.7,-1
5,33.25,-5.25,5939.2,-1
5,33.25,85.75,5862.8,-1
5,33.25,90.50,5863.4,-1
5,33.00,89.00,5865.0,-1
5,32.75,-6.00,5939.8,-1
5,32.75,80.75,5860.7,-1
5,32.75,88.25,5864.9,-1
5,32.50,-101.50,5930.2,-1
5,32.50,-100.75,5930.0,-1
5,32.50,-100.00,5930.1,-1
5,32.50,-4.75,5939.2,-1
5,32.50,91.25,5862.7,-1
5,32.50,130.75,5884.9,-1
5,32.25,84.75,5862.9,-1
5,32.25,113.75,5892.6,-1
5,32.25,119.75,5896.4,-1
5,32.00,113.00,5892.7,-1
5,31.75,-8.00,5936.6,-1
5,31.75,-6.50,5939.5,-1
5,31.75,-5.00,5939.8,-1
5,31.75,80.00,5862.2,-1
5,31.75,80.75,5860.9,-1
5,31.75,82.75,5861.4,-1
5,31.50,70.25,5880.8,-1
5,31.50,83.50,5862.7,-1
5,31.50,85.25,5864.0,-1
5,31.25,79.25,5864.9,-1
5,31.25,111.75,5892.7,-1
5,31.00,-7.75,5940.6,-1
5,31.00,56.25,5917.0,-1
5,31.00,111.00,5892.2,-1
5,31.00,115.25,5893.5,-1
5,31.00,116.50,5893.7,-1
5,30.75,-9.25,5935.8,-1
5,30.75,53.00,5920.5,-1
5,30.75,53.75,5920.1,-1
5,30.75,58.00,5914.7,-1
5,30.75,84.25,5860.8,-1
5,30.50,86.50,5861.2,-1
5,30.25,-8.25,5938.1,-1
5,30.25,60.00,5915.6,-1
5,30.25,114.00,5892.3,-1
5,30.00,44.50,5914.7,-1
5,30.00,50.25,5918.7,-1
5,30.00,78.50,5863.9,-1
5,29.75,81.75,5862.9,-1
5,29.75,82.50,5861.4,-1
5,29.50,52.25,5920.6,-1
