time,latitude,longitude,z
1,40.25,72.75,5801.6
1,40.00,68.25,5806.4
1,39.75,72.00,5807.1
1,39.50,68.25,5808.1
1,39.50,68.75,5808.0
1,39.50,96.00,5771.0
1,39.25,71.25,5808.3
1,39.25,93.50,5776.8
1,39.25,98.75,5771.0
1,39.00,89.75,5775.9
1,39.00,94.25,5774.5
1,38.75,67.75,5812.3
1,38.75,68.50,5811.9
1,38.75,72.00,5806.9
1,38.75,91.50,5775.3
1,38.50,74.25,5801.2
1,38.50,75.00,5798.2
1,38.25,69.75,5810.3
1,38.25,87.50,5780.2
1,38.00,70.50,5810.5
1,38.00,90.50,5778.0
1,37.50,87.00,5783.0
1,37.25,85.50,5784.0
1,37.00,84.75,5785.1
1,36.75,74.25,5807.9
1,36.75,88.25,5781.5
1,36.50,83.00,5789.1
1,36.50,127.50,5807.4
1,36.25,32.75,5893.3
1,36.25,79.25,5794.0
1,36.00,74.75,5808.2
1,36.00,75.00,5808.2
1,36.00,80.25,5792.9
1,35.75,5.75,5953.2
1,35.75,69.25,5824.9
1,35.75,70.00,5822.7
1,35.75,70.75,5820.0
1,35.75,71.50,5816.5
1,35.75,72.25,5815.0
1,35.75,73.25,5814.0
1,35.75,80.75,5792.1
1,35.75,254.25,5893.1
1,35.50,73.75,5814.2
1,35.25,6.25,5953.5
1,35.25,68.50,5833.6
1,35.25,75.75,5809.3
1,35.25,76.25,5809.6
1,35.25,80.75,5791.1
1,35.25,258.75,5892.7
1,35.00,69.25,5830.5
1,35.00,72.75,5814.6
1,34.75,73.75,5815.1
1,34.25,326.75,5907.1
1,34.00,263.25,5889.5
1,34.00,327.25,5907.1
1,33.75,52.50,5938.0
1,33.75,327.75,5907.1
1,33.50,51.50,5940.1
1,33.50,74.50,5824.2
1,33.00,66.75,5851.3
1,33.00,253.00,5899.2
1,33.00,260.00,5898.4
1,32.75,254.50,5903.1
1,32.50,267.00,5894.4
1,32.25,37.00,5935.5
1,32.00,256.50,5906.5
1,32.00,257.00,5906.4
1,31.75,35.50,5936.4
1,31.75,36.25,5934.9
1,31.75,265.00,5892.8
1,31.50,54.00,5943.2
1,31.25,34.75,5934.5
1,31.25,50.25,5946.0
1,30.75,35.25,5934.6
1,30.75,51.75,5949.2
1,30.50,34.25,5934.9
1,30.50,54.75,5943.6
1,30.25,51.00,5948.4
1,30.25,51.75,5949.3
1,30.00,54.00,5945.5
1,30.00,80.00,5847.9
1,30.00,93.75,5846.5
1,30.00,253.75,5910.4
1,29.75,34.00,5934.7
1,29.75,34.25,5934.7
1,29.75,52.25,5948.2
1,29.75,81.00,5852.0
1,29.75,255.50,5914.0
1,29.75,264.00,5899.3
1,29.50,88.00,5841.5
1,29.50,166.00,5873.0
1,29.50,166.75,5873.4
1,29.50,285.75,5915.5
1,29.25,1.75,5946.2
1,29.25,32.25,5934.2
1,29.25,33.00,5934.5
1,29.25,33.50,5934.6
1,29.25,48.25,5949.3
1,29.25,100.50,5842.2
1,29.25,101.25,5841.4
1,29.25,102.00,5839.4
1,29.25,102.75,5837.4
1,29.00,54.00,5944.9
1,29.00,273.00,5918.2
1,29.00,285.00,5915.7
1,29.00,318.75,5885.7
1,29.00,319.00,5885.7
1,28.75,52.75,5946.7
1,28.75,82.75,5859.9
1,28.75,83.00,5859.9
1,28.75,87.75,5849.0
1,28.75,89.00,5845.4
